Head,Rel,Tail
목청을 가다듬는다,PosEnv,기대하다
목청을 가다듬는다,PosEnv,긴장하다
목청을 가다듬는다,NegEnv,긴장하다
목청을 가다듬는다,NegEnv,불안하다
목청을 가다듬는다,NegEnv,당황하다
옷매무새를 가다듬는다,PosEnv,존경하다
옷매무새를 가다듬는다,NegEnv,긴장하다
호흡을 가다듬는다,PosEnv,흥분하다
호흡을 가다듬는다,NegEnv,당황하다
눈물이 가득하다,PosEnv,감동받다
눈물이 가득하다,PosEnv,고맙다
눈물이 가득하다,NegEnv,슬프다
눈물이 가득하다,NegEnv,걱정하다
눈물이 가득하다,NegEnv,불안하다
목소리가 가라앉는다,PosEnv,진정하다
목소리가 가라앉는다,PosEnv,편안하다
목소리가 가라앉는다,NegEnv,우울하다
목소리가 가라앉는다,NegEnv,유감스럽다
목소리가 가라앉는다,NegEnv,두렵다
웃음소리가 가라앉는다,PosEnv,경외심이 들다
웃음소리가 가라앉는다,NegEnv,겁에 질리다
말을 가로막는다,PosEnv,흥분하다
말을 가로막는다,NegEnv,무시하다
Y를 가로막는다,PosEnv,흥분하다
Y를 가로막는다,NegEnv,분노하다
Y를 가로막는다,NegEnv,적대시하다
Y를 가로막는다,NegEnv,걱정하다
고개를 격하게 가로젓는다,PosEnv,신나다
고개를 격하게 가로젓는다,NegEnv,혐오하다
고개를 느리게 가로젓는다,NegEnv,실망하다
고개를 느리게 가로젓는다,NegEnv,체념하다
손으로 눈을 가린다,PosEnv,감동받다
손으로 눈을 가린다,NegEnv,절망하다
손으로 무릎을 가린다,PosEnv,부끄럽다
손으로 무릎을 가린다,NegEnv,창피하다
손으로 얼굴을 가린다,PosEnv,쑥스럽다
손으로 얼굴을 가린다,NegEnv,창피하다
손으로 얼굴을 가린다,NegEnv,수치스럽다
손으로 입을 가린다,PosEnv,놀라다
손으로 입을 가린다,NegEnv,슬프다
양손으로 얼굴을 가린다,PosEnv,쑥스럽다
양손으로 얼굴을 가린다,NegEnv,당황하다
자신의 팔목을 가린다,PosEnv,부끄럽다
자신의 팔목을 가린다,NegEnv,초라하다
자신의 몸을 가린다,PosEnv,놀라다
자신의 몸을 가린다,NegEnv,수치스럽다
자신의 몸을 가린다,NegEnv,불안하다
발걸음이 가볍다,PosEnv,행복하다
발걸음이 가볍다,PosEnv,신나다
호흡이 가쁘다,PosEnv,흥분하다
호흡이 가쁘다,NegEnv,겁에 질리다
호흡이 가쁘다,NegEnv,충격받다
얼굴에 손을 자주 가져간다,PosEnv,쑥스럽다
얼굴에 손을 자주 가져간다,NegEnv,초조하다
이를 간다,NegEnv,분노하다
갈팡질팡한다,PosEnv,긴장하다
갈팡질팡한다,NegEnv,의심하다
갈팡질팡한다,NegEnv,두렵다
눈이 반쯤 감긴다,PosEnv,안심하다
눈이 반쯤 감긴다,PosEnv,안정을 찾다
눈이 반쯤 감긴다,NegEnv,심드렁하다
눈이 스르르 감긴다,PosEnv,안심하다
눈이 스르르 감긴다,NegEnv,망연자실하다
눈을 감는다,PosEnv,만족하다
눈을 감는다,PosEnv,평안하다
눈을 감는다,NegEnv,겁에 질리다
눈을 지그시 감는다,PosEnv,평안하다
눈을 지그시 감는다,PosEnv,안정을 찾다
눈을 지그시 감는다,NegEnv,그리워하다
눈을 꼭 감는다,PosEnv,안도하다
눈을 꼭 감는다,PosEnv,안정을 찾다
눈을 꼭 감는다,NegEnv,겁에 질리다
귀를 감싼다,NegEnv,고민하다
머리를 감싼다,NegEnv,짜증나다
머리를 감싼다,NegEnv,낙담하다
손으로 얼굴을 감싼다,PosEnv,감동받다
손으로 얼굴을 감싼다,NegEnv,절망하다
손으로 얼굴을 감싼다,NegEnv,체념하다
손으로 팔꿈치를 감싼다,NegEnv,불안하다
양팔로 몸을 감싼다,PosEnv,흥분하다
양팔로 몸을 감싼다,NegEnv,우울하다
양팔로 몸을 감싼다,NegEnv,두렵다
양팔로 몸을 감싼다,NegEnv,창피하다
양팔로 상체를 감싼다,NegEnv,슬프다
양팔로 상체를 감싼다,NegEnv,그리워하다
양팔로 자신의 어깨를 감싼다,NegEnv,슬프다
양팔로 자신의 어깨를 감싼다,NegEnv,망연자실하다
목덜미를 손으로 감싼다,PosEnv,안정을 찾다
목덜미를 손으로 감싼다,NegEnv,초조하다
목덜미를 손으로 감싼다,NegEnv,불안하다
턱을 손으로 감싼다,PosEnv,만족하다
턱을 손으로 감싼다,NegEnv,고민하다
자신의 배를 감싼다,PosEnv,부끄럽다
자신의 배를 감싼다,NegEnv,불안하다
Y의 어깨를 감싼다,PosEnv,좋아하다
Y의 어깨를 감싼다,PosEnv,유대감을 느끼다
Y의 어깨를 감싼다,NegEnv,동정하다
모습을 감춘다,PosEnv,부끄럽다
모습을 감춘다,NegEnv,유감스럽다
상처를 감춘다,NegEnv,초라하다
손바닥을 감춘다,NegEnv,불신하다
